2200.00,2145.00,2090.00,2035.00,1980.00,1925.00,1870.00,1815.00,1760.00,1705.00
7700.00,7545.00,7390.00,7235.00,7080.00,6925.00,6770.00,6615.00,6460.00,6305.00
13200.00,12945.00,12690.00,12435.00,12180.00,11925.00,11670.00,11415.00,11160.00,10905.00
18700.00,18345.00,17990.00,17635.00,17280.00,16925.00,16570.00,16215.00,15860.00,15505.00
24200.00,23745.00,23290.00,22835.00,22380.00,21925.00,21470.00,21015.00,20560.00,20105.00
29700.00,29145.00,28590.00,28035.00,27480.00,26925.00,26370.00,25815.00,25260.00,24705.00
35200.00,34545.00,33890.00,33235.00,32580.00,31925.00,31270.00,30615.00,29960.00,29305.00
40700.00,39945.00,39190.00,38435.00,37680.00,36925.00,36170.00,35415.00,34660.00,33905.00
46200.00,45345.00,44490.00,43635.00,42780.00,41925.00,41070.00,40215.00,39360.00,38505.00
51700.00,50745.00,49790.00,48835.00,47880.00,46925.00,45970.00,45015.00,44060.00,43105.00
